region,year,dimension,grp,type,elec,DLE,unit.DLE
AUS,2050,transport,car,OP,total,0.422447335,EJ/year
AUS,2050,transport,car,CON.new,total,0.015645603,EJ/year
AUS,2050,transport,car,CON.rep,total,0.12791472,EJ/year
AUS,2050,transport,bus,OP,total,0.012134017,EJ/year
AUS,2050,transport,bus,CON.new,total,2.97E-06,EJ/year
AUS,2050,transport,bus,CON.rep,total,2.43E-05,EJ/year
AUS,2050,transport,rail,OP,total,0.025016643,EJ/year
AUS,2050,transport,rail,CON.new,total,5.72E-05,EJ/year
AUS,2050,transport,rail,CON.rep,total,1.40E-04,EJ/year
AUS,2050,transport,twothree,OP,total,0.012278415,EJ/year
AUS,2050,transport,twothree,CON.new,total,1.08E-04,EJ/year
AUS,2050,transport,twothree,CON.rep,total,0.001060643,EJ/year
AUS,2050,appliances,clean_cooking_fuel,OP,total,0.031398098,EJ/year
AUS,2050,appliances,clean_cooking_fuel,CON.new,total,5.75E-06,EJ/year
AUS,2050,appliances,clean_cooking_fuel,CON.rep,total,6.61E-05,EJ/year
AUS,2050,appliances,television,OP,total,0.010174001,EJ/year
AUS,2050,appliances,television,CON.new,total,1.21E-04,EJ/year
AUS,2050,appliances,television,CON.rep,total,0.001394686,EJ/year
AUS,2050,appliances,mobile_telephone,OP,total,3.91E-04,EJ/year
AUS,2050,appliances,mobile_telephone,CON.new,total,1.35E-05,EJ/year
AUS,2050,appliances,mobile_telephone,CON.rep,total,3.11E-04,EJ/year
AUS,2050,appliances,refrigerator,OP,total,0.008139201,EJ/year
AUS,2050,appliances,refrigerator,CON.new,total,4.65E-04,EJ/year
AUS,2050,appliances,refrigerator,CON.rep,total,0.003566553,EJ/year
AUS,2050,water,water,OP,total,0.002016605,EJ/year
AUS,2050,water,water,CON.new,total,1.79E-06,EJ/year
AUS,2050,water,water,CON.rep,total,5.15E-06,EJ/year
AUS,2050,sanit,sanitation,OP,total,0.015975992,EJ/year
AUS,2050,sanit,sanitation,CON.new,total,8.96E-04,EJ/year
AUS,2050,sanit,sanitation,CON.rep,total,0.002574461,EJ/year
AUS,2050,nutrition,nutrition,OP,total,0.174889561,EJ/year
AUS,2050,clothing,clothing,OP,total,0.040832779,EJ/year
AUS,2050,clothing,clothing,CON.new,total,0,EJ/year
AUS,2050,clothing,clothing,CON.rep,total,0,EJ/year
AUS,2050,clothing,footwear,OP,total,0.004409715,EJ/year
AUS,2050,clothing,footwear,CON.new,total,0,EJ/year
AUS,2050,clothing,footwear,CON.rep,total,0,EJ/year
AUS,2050,health,health,OP,total,0.0429014,EJ/year
AUS,2050,health,health,CON.new,total,0,EJ/year
AUS,2050,health,health,CON.rep,total,0,EJ/year
AUS,2050,education,primary,OP,total,0.003591961,EJ/year
AUS,2050,education,primary,CON.new,total,0,EJ/year
AUS,2050,education,primary,CON.rep,total,0,EJ/year
AUS,2050,education,lower_secondary,OP,total,0.003942528,EJ/year
AUS,2050,education,lower_secondary,CON.new,total,0,EJ/year
AUS,2050,education,lower_secondary,CON.rep,total,0,EJ/year
AUS,2050,housing,rural,OP,total,0,EJ/year
AUS,2050,housing,rural,CON.new,total,0,EJ/year
AUS,2050,housing,rural,CON.rep,total,0.001710774,EJ/year
AUS,2050,housing,urban,OP,total,0,EJ/year
AUS,2050,housing,urban,CON.new,total,0.013911599,EJ/year
AUS,2050,housing,urban,CON.rep,total,0.028663384,EJ/year
AUS,2050,heating_con,rural,OP,total,0,EJ/year
AUS,2050,heating_con,rural,CON.new,total,0,EJ/year
AUS,2050,heating_con,rural,CON.rep,total,3.26E-05,EJ/year
AUS,2050,heating_con,urban,OP,total,0,EJ/year
AUS,2050,heating_con,urban,CON.new,total,1.65E-04,EJ/year
AUS,2050,heating_con,urban,CON.rep,total,5.51E-04,EJ/year
AUS,2050,cooling_con,rural,OP,total,0,EJ/year
AUS,2050,cooling_con,rural,CON.new,total,0,EJ/year
AUS,2050,cooling_con,rural,CON.rep,total,7.26E-05,EJ/year
AUS,2050,cooling_con,urban,OP,total,0,EJ/year
AUS,2050,cooling_con,urban,CON.new,total,1.51E-04,EJ/year
AUS,2050,cooling_con,urban,CON.rep,total,0.001229479,EJ/year
AUS,2050,heating_op,rural,OP,total,0.002810342,EJ/year
AUS,2050,heating_op,rural,CON.new,total,0,EJ/year
AUS,2050,heating_op,rural,CON.rep,total,0,EJ/year
AUS,2050,heating_op,urban,OP,total,0.042072692,EJ/year
AUS,2050,heating_op,urban,CON.new,total,0,EJ/year
AUS,2050,heating_op,urban,CON.rep,total,0,EJ/year
AUS,2050,cooling_op,rural,OP,total,1.12E-04,EJ/year
AUS,2050,cooling_op,rural,CON.new,total,0,EJ/year
AUS,2050,cooling_op,rural,CON.rep,total,0,EJ/year
AUS,2050,cooling_op,urban,OP,total,9.21E-04,EJ/year
AUS,2050,cooling_op,urban,CON.new,total,0,EJ/year
AUS,2050,cooling_op,urban,CON.rep,total,0,EJ/year
AUS,2050,roads,roads,OP,total,0,EJ/year
AUS,2050,roads,roads,CON.new,total,0,EJ/year
AUS,2050,roads,roads,CON.rep,total,0.065665982,EJ/year
AUS,2050,hotwater_op,rural,OP,total,0.005836396,EJ/year
AUS,2050,hotwater_op,rural,CON.new,total,0,EJ/year
AUS,2050,hotwater_op,rural,CON.rep,total,0,EJ/year
AUS,2050,hotwater_op,urban,OP,total,0.096622421,EJ/year
AUS,2050,hotwater_op,urban,CON.new,total,0,EJ/year
AUS,2050,hotwater_op,urban,CON.rep,total,0,EJ/year
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
